air.are:M  1000 spec_cast_mage			A fairy dragon
grove.are:M  8902 spec_cast_cleric			an elder druid
grove.are:M  8903 spec_cast_cleric			an elder druidess
grove.are:M  8908 spec_poison			a harmless snake
grove.are:M  8909 spec_cast_cleric			a druid
grove.are:M  8910 spec_cast_cleric			a druidess
haon.are:M  6112 spec_breath_gas			the huge, green dragon
haon.are:M  6116 spec_cast_cleric			the elder druid
hc.are:M  12042 spec_poison			the little red devil
hc.are:M  12043 spec_poison			the little red devil
hc.are:M  12044 spec_poison			the little red devil
hc.are:M  12048 spec_breath_acid			white ghost
hc.are:M  12049 spec_poison			the little red devil
hc.are:M  12101 spec_poison			the little red devil
hc.are:M  12102 spec_poison			the little red devil
hc.are:M  12103 spec_poison			the little red devil
hc.are:M  12104 spec_poison			the little red devil
hc.are:M  12105 spec_poison			the little red devil
hc.are:M  12106 spec_poison			the little red devil
hc.are:M  12107 spec_poison			the little red devil
hc.are:M  12111 spec_breath_acid			white ghost
hitower.are:M  1300 spec_cast_undead			a shadow guardian
hitower.are:M  1301 spec_cast_cleric			a lost adventurer
hitower.are:M  1304 spec_cast_mage			a mage
hitower.are:M  1306 spec_cast_mage			Tatorious
hitower.are:M  1307 spec_cast_mage			Ezmerelda
hitower.are:M  1308 spec_cast_mage			The cook's assistant
hitower.are:M  1309 spec_cast_mage			The prisoner
hitower.are:M  1310 spec_cast_mage			the Jailor
hitower.are:M  1312 spec_cast_undead			a pair of disembodied hands
hitower.are:M  1313 spec_cast_undead			a pair of disembodied eyes
hitower.are:M  1314 spec_cast_mage			the mage
hitower.are:M  1315 spec_cast_mage			a young apprentice magic user
hitower.are:M  1316 spec_cast_mage			a young apprentice
hitower.are:M  1317 spec_cast_mage			a young apprentice
hitower.are:M  1318 spec_cast_mage			A young apprentice
hitower.are:M  1320 spec_cast_mage			a student
hitower.are:M  1321 spec_cast_mage			an instructor of magic
hitower.are:M  1322 spec_cast_mage			a student of spells
hitower.are:M  1323 spec_cast_mage			a spell teacher
hitower.are:M  1324 spec_cast_mage			a student of spells
hitower.are:M  1325 spec_cast_mage			a wizard
hitower.are:M  1326 spec_cast_mage			a young mage
hitower.are:M  1327 spec_cast_mage			the battle mistress
hitower.are:M  1328 spec_cast_mage			a spell teacher
hitower.are:M  1329 spec_cast_mage			an aged wizard
hitower.are:M  1330 spec_cast_mage			a scribe
hitower.are:M  1331 spec_cast_mage			a scribe
hitower.are:M  1332 spec_cast_mage			the master scribe
hitower.are:M  1333 spec_cast_mage			the scribe's assistant
hitower.are:M  1334 spec_cast_mage			the Enchanter
hitower.are:M  1336 spec_cast_mage			the Mad Alchemist
hitower.are:M  1337 spec_cast_mage			the master summoner
hitower.are:M  1338 spec_cast_mage			the master charmer
hitower.are:M  1340 spec_cast_mage			the master spell binder
hitower.are:M  1341 spec_cast_mage			the golem maker
hitower.are:M  1348 spec_cast_mage			the master of illusions
hitower.are:M  1349 spec_cast_mage			the Necromancer
hitower.are:M  1350 spec_cast_undead			an animated skeleton
hitower.are:M  1351 spec_cast_undead			an undead giant
hitower.are:M  1352 spec_cast_mage			an ugly witch
hitower.are:M  1353 spec_cast_mage			the Librarian
hitower.are:M  1354 spec_cast_mage			the master's apprentice
hitower.are:M  1355 spec_cast_mage			a grey cat
hitower.are:M  1356 spec_cast_mage			the master of Neutrality
hitower.are:M  1357 spec_cast_mage			a black robed apprentice
hitower.are:M  1358 spec_cast_mage			a black cat
hitower.are:M  1359 spec_cast_mage			the master of the black robes
hitower.are:M  1360 spec_cast_mage			a white robed apprentice
hitower.are:M  1361 spec_cast_mage			a white cat
hitower.are:M  1362 spec_cast_mage			The master of goodness
hitower.are:M  1363 spec_cast_mage			A calico cat
hitower.are:M  1364 spec_cast_mage			The Grand Mistress
hitower.are:M  1365 spec_cast_mage			a wizard
joker.are:M 20006 spec_poison
joker1.are:M  24000 spec_breath_any                        the sea hydra
kavir.are:M  30002 spec_gremlin_born
kavir.are:M  30003 spec_gremlin_born
kavir.are:M  30004 spec_gremlin_born
kavir.are:M  30005 spec_gremlin_original
kree.are:M  6400 spec_breath_any			a faceless servant
kree.are:M  6402 spec_cast_undead			a naked woman
kree.are:M  6403 spec_breath_any			a faceless servant
kree.are:M  6406 spec_cast_cleric			Starfire, healer of the unwelcomed
kree.are:M  6407 spec_breath_any			a white siberian tiger
krytos.are:M  13071 spec_poison			Lord Krytos
krytos.are:M  13072 spec_poison			The Royal Lady
krytos.are:M  13076 spec_poison			The Guardian
krytos.are:M  13078 spec_poison			A savage beast
krytos.are:M  13080 spec_poison			The Gryphon
krytos.are:M  13081 spec_poison			A huge rat
krytos.are:M  13082 spec_poison			The Giant Slug
krytos.are:M  13083 spec_poison			The Headless Mob
mahntor.are:M  2300 spec_cast_undead			the Dark Ethereal Knight
mahntor.are:M  2302 spec_breath_acid			the Cave Dweller
mahntor.are:M  2306 spec_poison			the Swamp Wraith
mahntor.are:M  2310 spec_cast_cleric			The Ogre Shaman
mahntor.are:M  2313 spec_breath_frost			the White Yeti
mahntor.are:M  2314 spec_breath_acid			the Ice Worm
mahntor.are:M  2324 spec_cast_mage			the Minotaur Ring-Keeper
mahntor.are:M  2326 spec_cast_undead			Darkoth
mahntor.are:M  2328 spec_cast_mage			Amyrok
mahntor.are:M  2329 spec_cast_cleric			Sumaron
mahntor.are:M  2330 spec_cast_cleric			Nasturn
mahntor.are:M  2333 spec_cast_mage			Mahn-Tor
marsh.are:M  8309 spec_poison			the monstrous snake
marsh.are:M  8310 spec_poison			a large snake
marsh.are:M  8313 spec_cast_undead			a Death Slaad
marsh.are:M  8319 spec_cast_cleric			the orc shaman
mega1.are:M  8003 spec_cast_judge			a Citi-Def Militiaman
mega1.are:M  8006 spec_cast_judge			a rookie judge
mega1.are:M  8010 spec_cast_judge			Judge Eckersely
mega1.are:M  8011 spec_cast_judge			Judge Beddows
midennir.are:M  3500 spec_poison			the wyvern
midgaard.are:M  3000 spec_cast_mage
midgaard.are:M  3020 spec_cast_mage
midgaard.are:M  3021 spec_cast_cleric
midgaard.are:M  3024 spec_cast_mage
midgaard.are:M  3042 spec_cast_mage
midgaard.are:M  3043 spec_cast_cleric
midgaard.are:M  3050 spec_cast_undead
midgaard.are:M  3100 spec_cast_cleric
midgaard.are:M  3120 spec_cast_cleric
midgaard.are:M  3143 spec_mayor
mirror.are:M  5300 spec_cast_mage			the baby beholder
mirror.are:M  5306 spec_cast_cleric			the fanatic priest
mirror.are:M  5307 spec_cast_cleric			the priest of Thalos
mirror.are:M  5317 spec_cast_mage			an old wizard
mirror.are:M  5327 spec_cast_cleric			a druid
mirror.are:M  5328 spec_cast_cleric			a druidess
mordor.are:M  9501 spec_poison                     Shelob
mordor.are:M  9504 spec_cast_mage                  Gandalf the mage
mordor.are:M  9507 spec_cast_cleric                        Aragorn
mordor.are:M  9508 spec_cast_mage                  Legolas
mordor.are:M  9511 spec_cast_mage                  Saruman the mage
mordor.are:M  9515 spec_breath_fire                 The Balrog
mordor.are:M  9516 spec_breath_any                       The Witchking
mordor.are:M  9517 spec_cast_mage                  Sauron the mage
moria.are:M  4000 spec_poison			the huge python
moria.are:M  4001 spec_poison			the garter snake
moria.are:M  4053 spec_poison			the snake
moria.are:M  4100 spec_cast_mage			the Mage
moria.are:M  4102 spec_poison			the guardian snake
moria.are:M  4150 spec_breath_lightning			the blue bat
moria.are:M  4151 spec_breath_fire			the red bat
moria.are:M  4152 spec_breath_gas			the green bat
moria.are:M  4153 spec_breath_frost			the white bat
moria.are:M  4154 spec_breath_acid			the black bat
moria.are:M  4157 spec_cast_mage			the Mage
moria.are:M  4158 spec_poison			the snake
necro.are:M  13000 spec_poison			The Rokh Mahr
necro.are:M  13002 spec_poison			An Ancient Gar
necro.are:M  13003 spec_breath_fire			Chimu
necro.are:M  13004 spec_breath_fire			Salix
necro.are:M  13005 spec_cast_undead			Jivaro
necro.are:M  13006 spec_breath_any			The Great  Wyrm
necro.are:M  13008 spec_breath_fire			The Rokh Mahr Lord
ofcol2.are:M  601 spec_cast_cleric	Marshal Diana
ofcol2.are:M  602 spec_cast_cleric	Captain Derrick
ofcol2.are:M  603 spec_cast_mage		Captain Jacklyn
ofcol2.are:M  630 spec_breath_any		Dragonlord
ofcol2.are:M  631 spec_breath_any		Gold Dragon
ofcol2.are:M  632 spec_cast_mage		Attendant to Gold Dragon
ofcol2.are:M  633 spec_breath_any		Dragonknight
olympus.are:M  901 spec_cast_cleric			Zeus
olympus.are:M  902 spec_breath_fire			Prometheus
olympus.are:M  904 spec_cast_mage			Poseidon
olympus.are:M  908 spec_breath_lightning			Hephaestus
olympus.are:M  914 spec_breath_any			Odin
olympus.are:M  919 spec_breath_any			Ra the Sun God
olympus.are:M  920 spec_breath_fire			a chimera
olympus.are:M  921 spec_cast_cleric			Hera
olympus.are:M  922 spec_poison			a roc
olympus.are:M  926 spec_cast_mage			The Jailer
plains.are:M  350 spec_cast_mage			the pet dragon
pyramid.are:M  4200 spec_poison		asp
pyramid.are:M  4201 spec_poison		cobra
pyramid.are:M  4209 spec_breath_fire	efreet
pyramid.are:M  4211 spec_cast_mage		djinn
pyramid.are:M  4213 spec_cast_cleric	gynosphinx
pyramid.are:M  4214 spec_cast_cleric	criosphinx
pyramid.are:M  4215 spec_cast_cleric	androsphinx
pyramid.are:M  4216 spec_breath_any		great sphinx
pyramid.are:M  4217 spec_cast_cleric	Ramses
quest.are:M  500 spec_poison			A questing beast
quest.are:M  501 spec_breath_fire			A questing beast
quest.are:M  502 spec_cast_mage			A questing beast
quest.are:M  503 spec_poison			A questing beast
quest.are:M  504 spec_cast_mage			A questing beast
quest.are:M  505 spec_breath_fire			A questing beast
quest.are:M  506 spec_poison			A questing beast
quest.are:M  507 spec_cast_mage			A questing beast
quest.are:M  508 spec_breath_fire			A questing beast
redferne.are:M  7900 spec_cast_cleric			the Grand Knight of paladins
sentinel.are:M  12453 spec_poison			a wanderer
sentinel.are:M  12454 spec_poison			a wanderer
sentinel.are:M  12455 spec_poison			a wanderer
sentinel.are:M  12456 spec_poison			a wanderer
sewer.are:M  7006 spec_poison			the slithering snake
sewer.are:M  7040 spec_breath_fire			the red dragon
sewer.are:M  7041 spec_cast_undead			the sea hag
sewer.are:M  7042 spec_cast_cleric			the guardian naga
sewer.are:M  7043 spec_breath_any			the scaled basilisk
sewer.are:M  7200 spec_cast_mage			the master mindflayer
sewer.are:M  7201 spec_cast_mage			the senior mindflayer
sewer.are:M  7202 spec_cast_mage			the junior mindflayer
sewer.are:M  7203 spec_poison			the ugly wererat
sewer.are:M  7204 spec_poison			the gigantic rat
shire.are:M  1100 spec_cast_mage		Wizard
shire.are:M  1101 spec_poison		keeper
shire.are:M  1116 spec_cast_mage		elf
shire.are:M  1117 spec_cast_mage		dwarf
smurf.are:M  110 spec_cast_mage			Papa Smurf
smurf.are:M  111 spec_cast_cleric			Gargamel
smurf.are:M  112 spec_poison			Azreal
solace.are:M  10201 spec_mayor            Captain of the Guard
solace.are:M  10202 spec_cast_cleric      Lieutenant Commander
solace.are:M  10203 spec_cast_mage     Sergeant
solace.are:M  10208 spec_cast_cleric      Matt
solace.are:M  10211 spec_cast_cleric      Marilyn
solace.are:M  10212 spec_cast_undead   Ghost of Jander
solace.are:M  10213 spec_cast_undead   Ghost of waiter
solace.are:M  10214 spec_cast_undead   Ghost of barkeep
solace.are:M  10223 spec_cast_mage     Molin
solace.are:M  10224 spec_cast_mage     Rashan
solace.are:M  10226 spec_cast_mage     Croben
solace.are:M  10233 spec_cast_mage     Mage
solace.are:M  10236 spec_cast_cleric      Cleric, Traveller
solace.are:M  10242 spec_cast_undead   Ghost of gambler
solace.are:M  10243 spec_cast_mage     Magnus
tanu.are:M  8701 spec_cast_mage			Kahul Earthshaker
tanu.are:M  8702 spec_cast_judge			Leyr
tanu.are:M  8703 spec_cast_mage			Minanonn the Heretic
tanu.are:M  8704 spec_cast_mage			Fian Skybreaker
tanu.are:M  8707 spec_breath_fire                Alberonn Mindeater
tanu.are:M  8708 spec_cast_mage			Lady Epone
tanu.are:M  8709 spec_cast_judge			Lord Creyn
tanu.are:M  8711 spec_cast_judge			King Thagdal
tanu.are:M  8712 spec_cast_cleric                Brede Shipspouse
thalos.are:M  5200 spec_cast_mage			The mighty beholder
thedeep.are:M  27000 spec_poison			the Mighty Kracken
thedeep.are:M  27001 spec_poison			the Shadowy Morkoth
thedeep.are:M  27002 spec_cast_mage			the Eye of the Deep
thedeep.are:M  27003 spec_cast_cleric			the Titanic Titan
thedeep.are:M  27005 spec_cast_cleric			the Sahuagin priest
thedeep.are:M  27006 spec_breath_any                the Sahuagin warrior
tree.are:M  10101 spec_cast_cleric			a Hollyphant
tree.are:M  10102 spec_cast_mage			a planetar
tree.are:M  10105 spec_cast_mage			a chasme
tree.are:M  10107 spec_cast_mage			a yagnodemon
tree.are:M  10108 spec_cast_undead			Kostchtchie
tree.are:M  10109 spec_cast_mage			a nabassu
tree.are:M  10110 spec_breath_gas			a cloud dragon
tree.are:M  10111 spec_cast_cleric			a solar
tree.are:M  10114 spec_breath_any			a gorgimera
ucaves.are:M 11000 spec_poison        Spid
ucaves.are:M 11001 spec_poison        Fisher
ucaves.are:M 11002 spec_breath_any    Lukhorn
vallandar.are:M 30301 spec_breath_fire
valley.are:M  7807 spec_cast_cleric	; elder
valley.are:M  7808 spec_cast_mage		; elder
valley.are:M  7809 spec_breath_fire	; pyrohydra
valley.are:M  7811 spec_cast_mage		; Talemon
vishnaak.are:M  25502 spec_cast_mage			a Vishna'Ak Elder
vishnaak.are:M  25504 spec_cast_mage			a Vishna'Ak Child
vishnaak.are:M  25509 spec_cast_mage			a dark Vishna'Ak Elder
vishnaak.are:M  25510 spec_cast_cleric			a dark Vishna'Ak Shaman
vishnaak.are:M  25512 spec_breath_fire			Ythaca the Dark Devourer
vishnaak.are:M  25513 spec_poison                    a servitor demon
wyvern.are:M  1605 spec_cast_cleric			the gargoyle shaman
wyvern.are:M  1609 spec_cast_undead			an evil wight
wyvern.are:M  1614 spec_breath_acid			the black pudding
wyvern.are:M  1616 spec_breath_any			the ancient wyvern
wyvern.are:M  1617 spec_cast_undead			the spectre
wyvern.are:M  1716 spec_cast_undead			the centaur chief
zoo.are:M  211 spec_poison			the snake
zoo.are:M  212 spec_poison			the lizard
zoo.are:M  223 spec_breath_fire			the red dragon
